Абдоминопластика  Косметическая операция в области живота, формирование талии.
Экзистенциализм  Направление в философии середины ХХ века, где объектом внимания является человеческое существование – экзистенция – во всех ее проявлениях. Самые яркие представители экзистенциализма – французы Жан-Поль Сартр и Альбер Камю.
Экзогамия  Запрет на браки внутри семейного рода. В разных культурах и обществах фиксировалась разная глубина степени родства.
Экзорцизм  Процесс изгнания бесов из одержимого посредством молитв и других ритуальных действий. Характерно для разных религий, но само слово пришло из католицизма.
Эклектика  Искусственное соединение разнородных и плохо сочетающихся элементов в одно целое. Иногда это делается по глупости, иногда сознательно как творческий приём или эксперимент.
Эксаудиризм  Страсть к подслушиванию.
Эксизм  Концепция нового посткапиталистического общества, где разные социальные группы имеют разные уровни доступа к материальным благам, управлению системой.
Экспатриация  Насильственное выселение из страны, как правило, с лишением гражданства.
Экстраполяция  Описание ряда величин или явлений, по данным другого исследованного ряда.
Экструзия  Технологический процесс получения изделий в результате выдавливания бесформенной массы через отверстие с необходимым контуром. Так делают профиль для пластиковых окон и кукурузные палочки.
Эксцесс  Крайняя форма проявления чего-либо, выход процесса за границы его нормального течения.
Эктогенез  Приспособление организмов к среде обитания в процессе своего эволюционного развития.
Элиминация  Изъятие, исключение (устранение).
Эманация  Появление чего-либо из чего-то однозначно более сложного. Концепция в миропонимании, как упрощение и нисхождение божественного начала к низшим формам.
Эмансипация  Выход из состояния подчинённости, освобождение от зависимости от кого-либо или чего-либо.
Эмбарго  Запрет на какие-либо действия, как правило, торговлю с государством со стороны других государств.
Эмметропия  Нормальное здоровое состояние глаза, зрения, т.е. не близорукость и не дальнозоркость.
Эмпатия  Умение поставить себя на место другого человека, понимание другого человека «через себя».
Эмульгатор  Вещество, обеспечивающее создание эмульсий из несмешивающихся в обычном состоянии жидкостей. Добавляются в некоторые пищевые продукты и в косметику, но есть и запрещенные к использованию для этих целей.
Эмульсия  Жидкость, к которой во взвешенном состоянии равномерно распределены мельчайшие капли другой жидкости, при невозможности растворения одной в другой.
Эмуляция  Воспроизведение программными или аппаратными средствами условий для работы других программ или оборудования.
Эндорсер  Лицо, использующее некую продукцию по контракту, с целью её рекламы и популяризации. Например, спортсмен, всегда использующий форму какого-то производителя.
Энотека  Винотека, коллекция вина.
Энтазис  Архитектурный прием, утолщение средней части колонны, устраняющее оптическую иллюзию её вогнутости.
Энтелехия  Идея, нематериальная цель и движущий фактор развития материи. Например, у Пелевина в «Generation П» ядерный гриб – это энтелехия обычного лесного гриба.
Энтропия  Степень неупорядоченности, хаотичности. Выше энтропия — больше хаоса, и наоборот.
Эпатаж  Нарочито скандальное поведение, нарушение норм и обычаев с целью произвести впечатление.
Эпикурейство  Стремление к удовлетворению чувственных инстинктов, легкой жизни и богатству.
Эпиляция  Полное удаление волосяного покрова с частей тела. Депиляция же – поверхностное удаление, бритьё
Эпистема  Совокупность научных и культурных факторов, относящихся к некому историческому промежутку и территории.
Эпитафия  Стихотворное изречение в связи с чьей-то смертью, используется как надпись на надгробном памятнике.
Эргативность  Особое построение предложений в некоторых языках, отличающееся направленностью действия, содержащегося в глагольных формах.
Эрратика  Процесс переноса ледником на большие расстояния каменных глыб: устоявшийся термин для них – эрратические валуны.
Эскалация  Расширение, наращивание, нагнетание.
Эскапизм  Стремление спрятаться от действительности в вымышленном мире.
Эсхатология  Религиозное учение о конечных судьбах мира и человека, характерно для всех религий, признающих загробную жизнь.
Эсхатон  Конечное событие в истории и существования мира. Разными религиями интерпретируется по-разному.
Этатизм  Идея о государстве как высшем результате общественного развития и его ведущей роли.
Этимология  Происхождение слова, и наука об этом.
Этиология  Причина болезни, и наука.
Этология  Исследование жизни и поведения животных в естественных условиях обитания.
Эхолалия  Бессмысленное повторение слов за собеседником или просто где-то услышанных.
Ювенальный  Применительно к юстиции, то ее направление, которое занимается вопросами детской преступности и правами детей.
Юридизация  Выделение правовых сторон какого-либо вопроса или явления, как правило, искусственное и чрезмерное.
Юстировка  Наладка приборов и механизмов с целью установки их точного взаимодействия.
Ятрогения  Самовнушение, влекущее заболевание от неправильно понятой информации от врача или из медицинской литературы.
